City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,Mwense,ZM,-10.3845,28.698,73.47,88,100,1.81,light rain
155,Sazonovo,RU,59.0919,35.2268,19.35,96,100,5.7,overcast clouds
156,Thinadhoo,MV,0.5333,72.9333,82.74,69,11,10.96,few clouds
157,Liberal,US,37.0431,-100.921,34.83,80,0,13.8,clear sky
158,Rocha,UY,-34.4833,-54.3333,67.69,59,99,16.2,overcast clouds
159,Urusha,RU,54.05,122.9,-10.53,96,35,3.2,scattered clouds
160,Oytal,KZ,42.9057,73.2697,37.69,96,100,0.45,overcast clouds
161,Tuatapere,NZ,-46.1333,167.6833,43.83,91,1,3.53,clear sky
162,Ilulissat,GL,69.2167,-51.1,1.42,39,100,3.44,overcast clouds
163,Bengkulu,ID,-3.8004,102.2655,78.21,81,99,8.03,overcast clouds
164,Khandyga,RU,62.6667,135.6,-36.9,99,100,2.55,overcast clouds
165,Emba,KZ,48.8264,58.1442,20.66,95,100,13.78,light snow
166,Pleasant Point,NZ,-44.2667,171.1333,55.27,93,100,1.12,overcast clouds
167,Yenagoa,NG,4.9247,6.2642,100.81,22,1,3.0,clear sky
168,Hofn,IS,64.2539,-15.2082,32.02,47,20,16.11,few clouds
169,Hithadhoo,MV,-0.6,73.0833,82.89,70,31,10.92,scattered clouds
170,Itarana,BR,-19.8739,-40.8753,82.45,68,18,6.69,few clouds
171,Ruidoso,US,33.3317,-105.673,27.52,55,0,4.61,clear sky
172,Dakar,SN,14.6937,-17.4441,92.28,65,0,11.5,clear sky
173,Vanimo,PG,-2.6741,141.3028,79.02,85,74,5.79,broken clouds
174,Lompoc,US,34.6391,-120.4579,58.12,80,0,8.05,clear sky
175,Faya,SA,18.3851,42.4509,64.51,56,4,8.68,clear sky
176,Talcahuano,CL,-36.7167,-73.1167,69.48,56,0,6.91,clear sky
177,Arlit,NE,18.7369,7.3853,83.14,5,0,5.06,clear sky
178,Myrtle Beach,US,33.6891,-78.8867,37.04,62,75,10.36,broken clouds
179,Umm Lajj,SA,25.0213,37.2685,74.68,34,0,21.5,clear sky
180,Antigonish,CA,45.6169,-61.9986,16.93,84,44,13.98,scattered clouds
181,Karratha,AU,-20.7377,116.8463,84.69,79,16,12.93,few clouds
182,Yermakovskoye,RU,53.2831,92.4003,-1.77,97,86,1.74,overcast clouds
183,Jiuquan,CN,39.7432,98.5174,15.19,90,97,9.64,overcast clouds
184,Port Shepstone,ZA,-30.7414,30.455,76.17,80,96,16.2,light rain
185,Rio Grande,BR,-32.035,-52.0986,71.94,59,33,17.4,scattered clouds
186,Severodvinsk,RU,64.5635,39.8302,12.31,91,77,12.8,broken clouds
187,Faanui,PF,-16.4833,-151.75,80.96,74,90,20.49,light rain
188,Talara,PE,-4.5772,-81.2719,74.16,68,0,19.57,clear sky
189,Djibo,BF,14.1022,-1.6306,88.63,8,0,9.73,clear sky
190,San Andres,CO,12.5847,-81.7006,78.82,69,20,10.36,few clouds
191,Saint-Philippe,RE,-21.3585,55.7679,83.79,77,100,17.31,overcast clouds
192,Necochea,AR,-38.5473,-58.7368,68.04,82,87,21.18,overcast clouds
193,Cabo San Lucas,MX,22.8909,-109.9124,64.51,81,75,9.22,broken clouds
194,Tasiilaq,GL,65.6145,-37.6368,21.36,61,100,16.02,overcast clouds
195,Bonavista,CA,48.6499,-53.1147,18.12,75,100,30.53,overcast clouds
196,Longyearbyen,SJ,78.2186,15.6401,21.04,63,75,18.41,light snow
197,Maceio,BR,-9.6658,-35.7353,87.24,54,40,8.05,scattered clouds
198,Tevriz,RU,57.509,72.4042,8.73,96,100,2.71,overcast clouds
199,Odweyne,SO,9.4092,45.064,80.35,34,84,15.12,broken clouds
200,Seymchan,RU,62.8833,152.4333,-39.84,100,43,0.56,scattered clouds
201,Canico,PT,32.6333,-16.85,69.12,82,40,1.01,scattered clouds
202,Bijar,IR,35.8668,47.6051,22.41,82,32,7.45,scattered clouds
203,Nhulunbuy,AU,-12.2333,136.7667,75.81,94,100,4.61,moderate rain
204,Sainte-Marie,RE,-20.8968,55.5496,84.36,83,100,13.8,overcast clouds
205,Anloga,GH,5.7947,0.8973,89.82,67,95,11.41,overcast clouds
206,Mana,GF,5.6592,-53.7767,81.9,75,100,8.05,overcast clouds
207,Moron,AR,-34.6534,-58.6198,64.99,58,11,10.94,few clouds
208,Mao,ES,39.8885,4.2658,55.96,67,40,10.36,scattered clouds
209,Komsomolskiy,UZ,40.4272,71.7189,43.52,81,75,9.22,broken clouds
210,Strezhevoy,RU,60.7333,77.5889,15.78,95,100,8.97,overcast clouds
211,Seoul,KR,37.5683,126.9778,27.79,49,0,5.75,clear sky
212,Antofagasta,CL,-23.65,-70.4,73.22,56,0,4.45,clear sky
213,San Policarpo,PH,12.1791,125.5072,80.71,75,15,15.86,few clouds
214,Jasper,US,37.2001,-94.3502,31.35,69,2,3.0,clear sky
215,Clarence Town,AU,-32.5833,151.7833,71.85,86,96,4.88,light rain
216,Victoria,HK,22.2855,114.1577,63.25,79,100,1.01,overcast clouds
217,Pierre,US,44.3683,-100.351,30.85,73,20,5.99,few clouds
218,Ossora,RU,59.2353,163.0719,8.55,73,100,12.06,overcast clouds
219,Bellevue,US,47.6104,-122.2007,41.56,90,100,1.01,fog
220,Vidisha,IN,23.5333,77.8167,70.93,24,0,2.42,clear sky
221,Trelleborg,SE,55.3751,13.1569,43.95,92,100,15.77,overcast clouds
222,Rawson,AR,-43.3002,-65.1023,70.25,42,0,13.47,clear sky
223,Ulaangom,MN,49.9811,92.0667,-24.86,97,90,3.22,overcast clouds
224,Marfino,RU,55.7028,37.3822,22.95,88,75,2.24,snow
225,Junagarh,IN,19.8667,82.9333,67.42,22,59,4.16,broken clouds
226,Port Lincoln,AU,-34.7333,135.8667,71.08,64,0,15.52,clear sky
227,Barstow,US,34.8986,-117.0228,54.3,24,0,3.87,clear sky
228,Cherskiy,RU,68.75,161.3,-30.01,100,46,0.4,scattered clouds
229,Boa Vista,BR,2.8197,-60.6733,80.58,65,75,10.36,broken clouds
230,Mindelo,CV,16.8901,-24.9804,76.55,53,20,20.71,few clouds
231,Pacific Grove,US,36.6177,-121.9166,50.31,73,0,4.61,clear sky
232,San Patricio,US,28.017,-97.5169,45.84,85,0,5.1,clear sky
233,Ca Mau,VN,9.1769,105.15,79.99,69,79,10.13,broken clouds
234,Myitkyina,MM,25.3833,97.4,55.71,82,1,3.04,clear sky
235,Reconquista,AR,-29.15,-59.65,77.41,32,0,11.52,clear sky
236,Vilyuysk,RU,63.7553,121.6247,-18.9,99,82,5.53,broken clouds
237,Balyaga,RU,51.1507,108.921,-1.08,99,95,3.09,overcast clouds
238,Paita,PE,-5.0892,-81.1144,73.96,78,99,12.41,overcast clouds
239,Marsh Harbour,BS,26.5412,-77.0636,73.71,76,92,12.26,overcast clouds
240,San Quintin,MX,30.4833,-115.95,52.32,47,0,1.66,clear sky
241,Severo-Kurilsk,RU,50.6789,156.125,30.96,84,100,11.34,light snow
242,Chimore,BO,-16.9833,-65.1333,69.78,99,100,0.16,light rain
243,Diamantino,BR,-14.4086,-56.4461,82.33,78,100,3.56,overcast clouds
244,Georgetown,MY,5.4112,100.3354,84.13,87,40,1.01,thunderstorm
245,Jaicos,BR,-7.3592,-41.1378,89.85,45,50,6.64,scattered clouds
246,Tirodi,IN,21.6833,79.7,67.8,22,7,2.01,clear sky
247,Matadi,CD,-5.8167,13.45,92.01,50,52,4.59,broken clouds
248,Novaya Bryan,RU,51.7159,108.2691,12.97,97,71,5.48,broken clouds
249,Khani,GE,41.9563,42.9566,27.97,99,100,2.1,snow
250,Prince Rupert,CA,54.3161,-130.3201,44.69,76,100,21.85,overcast clouds
251,Sumbe,AO,-11.2061,13.8437,81.34,66,87,9.64,overcast clouds
252,Kumbo,CM,6.2,10.6667,81.16,16,5,7.72,clear sky
