City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
325,Moussoro,TD,85.05,clear sky,13.6408,16.4901,Hôtel Salama
326,Pontianak,ID,80.58,heavy intensity rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
331,Doka,SD,85.23,clear sky,13.5167,35.7667,
332,Roebourne,AU,84.63,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
334,Katobu,ID,76.87,scattered clouds,-4.9408,122.5276,La Ode Husein
335,Black River,JM,75.97,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
336,Asosa,ET,80.82,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
338,Teahupoo,PF,73.36,light rain,-17.8333,-149.2667,Vanira Lodge
340,Pisco,PE,70.02,mist,-13.7,-76.2167,Hotel San Isidro Oficial
341,Balabac,PH,80.73,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
343,Mitsamiouli,KM,86.29,scattered clouds,-11.3847,43.2844,Foyer ADM
348,Imbituba,BR,80.49,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
350,Atambua,ID,75.99,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
354,Galle,LK,79.25,scattered clouds,6.0367,80.217,Amangalla
359,Tarapur,IN,71.33,clear sky,19.85,72.7,Vasantshrushti Farm
360,Uribia,CO,81.63,clear sky,11.7139,-72.266,Hotel Uribia
370,Salalah,OM,78.89,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
371,Cidreira,BR,77.49,few clouds,-30.1811,-50.2056,Hotel Castelo
372,Broken Hill,AU,76.71,broken clouds,-31.95,141.4333,Royal Exchange Hotel
373,Tabou,CI,83.73,light rain,4.423,-7.3528,hotêl doufoulougou
375,Mwinilunga,ZM,75.56,light rain,-11.7358,24.4293,Kwakuwahi Lodge
376,Maputo,MZ,83.88,scattered clouds,-25.9653,32.5892,Pestana Rovuma
380,Pitimbu,BR,84.79,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
390,Makakilo City,US,71.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
391,Luba,GQ,85.89,scattered clouds,3.4568,8.5547,
393,Sinnamary,GF,81.01,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
394,Sambava,MG,84.78,clear sky,-14.2667,50.1667,Melrose
396,Ambulu,ID,77.0,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
400,Adrar,MR,83.39,clear sky,20.5022,-10.0711,
404,Panlaitan,PH,80.74,scattered clouds,12.1191,119.8486,Panlaitan Cetro Beach
405,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
412,Neiafu,TO,77.68,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
413,Lichtenburg,ZA,74.16,overcast clouds,-26.152,26.1597,Kennzy Guest House
414,Gwadar,PK,72.81,clear sky,25.1216,62.3254,Sadaf Resort
417,Manacapuru,BR,81.18,heavy intensity rain,-3.2997,-60.6206,Novo Hotel
421,Maningrida,AU,78.8,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
424,Moerai,PF,79.32,light rain,-22.4333,-151.3333,Le Manotel
425,Cayenne,GF,83.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
427,Esperance,AU,76.84,few clouds,-33.8667,121.9,Hospitality Esperance
429,Saint-Pierre,RE,83.88,clear sky,-21.3393,55.4781,Lindsey Hôtel
430,Kaeo,NZ,73.33,overcast clouds,-35.1,173.7833,Bushido Lodge
432,Meulaboh,ID,79.07,broken clouds,4.1363,96.1285,Kost Pria
435,Auki,SB,78.76,overcast clouds,-8.7676,160.7034,Auki Motel
440,Tucuma,BR,77.36,overcast clouds,-0.1833,-50.05,
441,Rio Verde De Mato Grosso,BR,82.53,overcast clouds,-18.9181,-54.8442,Quedas Palace Hotel
442,Sao Filipe,CV,74.57,clear sky,14.8961,-24.4956,Hotel Xaguate
443,Sulangan,PH,80.44,broken clouds,11.1373,123.7228,Maia's Beach Resort
445,Jalu,LY,70.29,clear sky,29.0331,21.5482,صاحبة الفخامة
449,Boyolangu,ID,75.54,moderate rain,-8.1181,111.8935,Yos ega cv
452,Mapiripan,CO,82.51,broken clouds,2.8892,-72.1256,Monserrate
453,Sao Paulo De Olivenca,BR,79.66,overcast clouds,-3.3783,-68.8725,
454,Kirakira,SB,80.94,overcast clouds,-10.4544,161.9205,SanBiz Lodge
458,Fare,PF,81.19,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
464,Mogadishu,SO,84.07,few clouds,2.0371,45.3438,Hotel Juba
467,Lagunas,PE,79.3,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
468,Tiarei,PF,78.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
469,Thiruvananthapuram,IN,84.18,haze,8.4833,76.9167,Hotel Residency Tower
471,Bilma,NE,77.99,clear sky,18.6853,12.9164,Expeditions Ténére voyages
477,Casino,AU,71.35,scattered clouds,-28.8667,153.05,Squatters Homestead Motel
479,Srivardhan,IN,72.82,scattered clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
483,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
486,Maraa,BR,72.93,overcast clouds,-1.8333,-65.3667,
487,Sao Jose,BR,85.46,few clouds,-28.2333,-49.1667,Rancho do Juninhu
491,Mufumbwe,ZM,73.09,light rain,-13.6833,24.8,
494,Tessalit,ML,79.72,clear sky,20.1986,1.0114,
495,Karaton,ID,80.76,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
498,Mutis,CO,77.97,broken clouds,6.2262,-77.4044,Paraiso Escondido
500,Natal,BR,86.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
501,Khon Kaen,TH,78.73,broken clouds,16.5,102.0833,Major Grand
502,Sorong,ID,81.28,moderate rain,-0.8833,131.25,Waigo Splash Hotel
504,Cockburn Town,TC,76.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
509,Mazagao,BR,77.05,light rain,-0.115,-51.2894,Recanto dos Ferreiras
510,Kidodi,TZ,84.9,overcast clouds,-7.6036,37.0044,Royal Family Lodge
511,Barra,BR,85.08,broken clouds,-11.0894,-43.1417,Motel Albatroz
516,Bandarbeyla,SO,77.18,broken clouds,9.4942,50.8122,JABIR HOTEL
524,Mount Isa,AU,80.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
528,Nelson Bay,AU,72.0,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
529,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
537,Adelaide,AU,80.42,clear sky,-34.9333,138.6,The Chancellor on Currie
541,Benjamin Aceval,PY,78.94,few clouds,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
543,Praia,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
544,Luau,AO,77.61,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
547,Tumbes,PE,73.0,overcast clouds,-3.5667,-80.4414,Wyndham Costa del Sol Tumbes
549,Marawi,PH,72.64,broken clouds,7.9986,124.2928,Derogongan Residence
550,Angoche,MZ,84.09,overcast clouds,-16.2325,39.9086,Guest House HESADA
551,Amahai,ID,79.72,moderate rain,-3.3333,128.9167,HOTEL ISABELA
552,Bintulu,MY,79.21,scattered clouds,3.1667,113.0333,900 Boutique INN
553,Manggar,ID,79.23,broken clouds,-2.8833,108.2667,Guest Hotel
554,Loandjili,CG,86.11,few clouds,-4.7561,11.8578,Résidence ARCHANGE
557,Katete,UG,81.21,overcast clouds,-0.7818,29.7544,
558,Santa Maria,BR,70.9,broken clouds,-29.6842,-53.8069,Hotel Morotin
565,Langsa,ID,77.83,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
568,San Pedro Del Parana,PY,76.26,clear sky,-26.8333,-56.2,Hotel Oasis
569,Pindiga,NG,88.03,clear sky,9.9833,10.9333,Accommodation Center
576,Kavaratti,IN,78.69,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
577,Young,UY,70.23,scattered clouds,-32.6833,-57.6333,Posada Gira el Sol
579,Vila Velha,BR,85.95,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
582,Honiara,SB,79.47,overcast clouds,-9.4333,159.95,Heritage Park Hotel
585,Beloha,MG,75.31,moderate rain,-25.1667,45.05,
587,Mahina,PF,78.57,light rain,-17.5065,-149.489,Guest Beach Bungalow Tahiti
588,Cubarral,CO,76.37,overcast clouds,3.7935,-73.8406,Hotel Shaloom
595,Bubaque,GW,78.06,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
596,Werda,BW,83.14,overcast clouds,-25.2667,23.2833,
599,Tual,ID,83.53,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
602,Port Pirie,AU,77.09,overcast clouds,-33.1833,138.0167,John Pirie Motor Inn
603,Barinas,VE,74.89,broken clouds,8.6226,-70.2075,Hotel Mastranto Suite
608,Nampula,MZ,87.75,broken clouds,-15.1165,39.2666,BUTIK Hotel
610,Alta Gracia,AR,71.89,clear sky,-31.6529,-64.4283,Hotel Ritz
613,Sabha,LY,71.04,scattered clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
615,Trinidad,BO,73.38,overcast clouds,-14.8333,-64.9,Hotel Piesta
619,Sabang,ID,81.79,moderate rain,5.8933,95.3214,Hotel Citra
620,Itororo,BR,78.98,overcast clouds,-15.1169,-40.0703,Hotel Indiana
622,Angoram,PG,76.57,moderate rain,-4.0625,144.0661,
624,Jiwani,PK,72.99,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
626,Saint-Joseph,RE,82.78,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
628,Richards Bay,ZA,77.22,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
629,Mokolo,CM,83.34,few clouds,10.7398,13.8019,Diwa Hôtel
635,Quelimane,MZ,85.95,scattered clouds,-17.8786,36.8883,Hotel Flamingo
636,Tecoanapa,MX,73.72,clear sky,16.5167,-98.75,Hotel Manglares
638,Samarai,PG,81.93,overcast clouds,-10.6167,150.6667,Nuli Sapi
644,Catamarca,AR,71.78,few clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
646,Mackay,AU,78.78,broken clouds,-21.15,149.2,International Lodge Motel
649,Tadine,NC,79.59,overcast clouds,-21.55,167.8833,
653,Ngunguru,NZ,73.17,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
657,Issenye,TZ,79.56,overcast clouds,-2.0,34.3333,
661,Xai-Xai,MZ,82.4,clear sky,-25.0519,33.6442,Complexo da Familia
663,Humberto De Campos,BR,84.63,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
665,Dumai,ID,73.56,light rain,1.6833,101.45,Grand Zuri Dumai
672,Mtimbira,TZ,84.49,broken clouds,-8.7833,36.35,
675,Corrente,BR,87.12,scattered clouds,-3.7367,-43.3394,Chapadinhense Hotel
677,Yulara,AU,76.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
678,Amapa,BR,76.03,heavy intensity rain,1.0,-52.0,
679,Sao Felix Do Xingu,BR,84.0,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
680,Biak,ID,76.89,broken clouds,-0.9131,122.8766,Penginapan Kim
681,Olinda,BR,85.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
685,Inirida,CO,80.26,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
688,Phuket,TH,82.62,few clouds,8.0,98.25,The Surin
